iter	Accuracy	MultiClass
615	0.9984930681	-0.08717817926
616	0.9984930681	-0.08711277306
617	0.9984930681	-0.08682696991
618	0.9984930681	-0.08663333281
619	0.9984930681	-0.08631642488
620	0.9984930681	-0.08621372413
621	0.9984930681	-0.08608154058
622	0.9984930681	-0.08587161134
623	0.9984930681	-0.0857032187
624	0.9984930681	-0.0853049487
625	0.9984930681	-0.0851107929
626	0.9984930681	-0.08501385044
627	0.9984930681	-0.08467630239
628	0.9984930681	-0.08461905648
629	0.9984930681	-0.0845125338
630	0.9984930681	-0.08441275809
631	0.9984930681	-0.08430979631
632	0.9984930681	-0.08393719227
633	0.9984930681	-0.08388550412
634	0.9984930681	-0.08368773294
635	0.9984930681	-0.08338584538
636	0.9984930681	-0.08328657168
637	0.9984930681	-0.08309583542
638	0.9984930681	-0.08296424549
639	0.9984930681	-0.08291839721
640	0.9984930681	-0.08279939387
641	0.9984930681	-0.08260175634
642	0.9984930681	-0.08241365535
643	0.9987944545	-0.08227699242
644	0.9987944545	-0.08223411566
645	0.9987944545	-0.08215094259
646	0.9987944545	-0.08212276772
647	0.9987944545	-0.08190828263
648	0.9987944545	-0.0817921387
649	0.9987944545	-0.08161621912
650	0.9987944545	-0.08152048839
651	0.9987944545	-0.08142677198
652	0.9987944545	-0.08123733619
653	0.9990958409	-0.08109166688
654	0.9987944545	-0.08102860534
655	0.9990958409	-0.08090394848
656	0.9990958409	-0.08087103983
657	0.9990958409	-0.08071961026
658	0.9990958409	-0.08048091887
659	0.9993972272	-0.08037823798
660	0.9993972272	-0.08025888009
661	0.9993972272	-0.08000254554
662	0.9993972272	-0.07971744865
663	0.9993972272	-0.07962672905
664	0.9993972272	-0.07959405812
665	0.9993972272	-0.07950400624
666	0.9990958409	-0.07924824879
667	0.9993972272	-0.07894157334
668	0.9993972272	-0.07876345413
669	0.9993972272	-0.07859492095
670	0.9993972272	-0.0782400379
671	0.9993972272	-0.07789228302
672	0.9993972272	-0.07778379713
673	0.9993972272	-0.07756047507
674	0.9996986136	-0.07737167175
675	0.9996986136	-0.07728319164
676	0.9996986136	-0.07721716523
677	0.9996986136	-0.07709801844
678	0.9996986136	-0.07700475946
679	0.9996986136	-0.07691593897
680	0.9996986136	-0.07668995545
681	0.9996986136	-0.07661429726
682	0.9996986136	-0.07650687261
683	0.9996986136	-0.07644218701
684	0.9996986136	-0.07635911131
685	0.9996986136	-0.07609704763
686	0.9996986136	-0.07604271609
687	0.9996986136	-0.07598548789
688	0.9996986136	-0.07585276196
689	0.9996986136	-0.07578172695
690	0.9996986136	-0.07572167642
691	0.9996986136	-0.07563035285
692	0.9996986136	-0.07532693305
693	0.9996986136	-0.0752391056
694	0.9996986136	-0.07511326852
695	0.9996986136	-0.0749814161
696	0.9996986136	-0.07493390935
697	0.9996986136	-0.07475412618
698	0.9996986136	-0.0745010211
699	0.9996986136	-0.07442416526
700	0.9996986136	-0.0743635889
701	0.9996986136	-0.07425284143
702	0.9996986136	-0.0741193099
703	0.9996986136	-0.07402298286
704	0.9996986136	-0.07383164327
705	0.9996986136	-0.07365862873
706	0.9996986136	-0.07359321402
707	0.9996986136	-0.0734161949
